,fluxes,kcat,MW,kcat_MW,equ
GLYK,0.0,45670.441968,297.0723575563,153.73507768842046,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,158919.13972799998,58.60269801,2711.80585748598,r1p_c --> r5p_c
ASPTA_num1,0.0,13921.6490172,115.1010083991,120.95158166580283,akg_c + asp__L_c --> glu__L_c + oaa_c
ACP1_FMN_num1,0.0,23467.2357204,40.1130647057,585.0272446788476,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,0.00012512308696790265,108.0,92.8961727231,1.1625882620796522,2.0 dmlz_c --> 4r5au_c + ribflv_c
NDP3_num1,0.0,34101.470469600004,23.0249036317,1481.0689770987844,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,28855.364306400003,46.6928916371,617.9819517425833,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,33721.6093776,46.6928916371,722.2000650481534,h2o_c + udp_c --> h_c + pi_c + ump_c
FBP_num1,0.0,274394.256768,90.6669720537,3026.397050135108,fdp_c + h2o_c --> f6p_c + pi_c
EX_pi_e,0.0,,,,pi_e --> 
GLGC,0.0,18829.6156188,257.2741651338,73.18890961712896,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
ALATA_D2_num1,0.0,9300.5069976,119.7058834636,77.694652330335,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
PYK_num1,0.0,427444.77816,271.3245483078,1575.400312378266,adp_c + h_c + pep_c --> atp_c + pyr_c
SHCHD2,6.256154348395132e-05,1224.0,131.9489208644,9.276316865507892,dscl_c + nad_c --> h_c + nadh_c + scl_c
EX_co2_e,2.125912225479291,,,,co2_e --> 
A5PISO_num1,0.0,55549.16712,185.9441022639,298.7412154711,ru5p__D_c --> ara5p_c
PMDPHT_num1,0.0,9471.6204372,39.8823256626,237.4891704493075,5aprbu_c + h2o_c --> 4r5au_c + pi_c
CPPPGO,6.256154348395132e-05,900.0,90.6648588169,9.926668521235698,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
EX_met__L_e,0.0,,,,met__L_e --> 
GTHOr,0.0073407414654756515,25901.6161428,128.834802285,201.04518098690545,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
ILETA,0.0,22229.6857848,270.1798343487,82.2773684734364,akg_c + ile__L_c --> 3mop_c + glu__L_c
DHORD5,0.0,38657.174040000005,48.5707666885,795.8938405877127,dhor__S_c + mqn8_c --> mql8_c + orot_c
EX_metsox_S__L_e,0.0,,,,metsox_S__L_e --> 
GLYCTO2,0.00012512308696791127,50485.468176,181.3194156044,278.4338787311583,glyclt_c + q8_c --> glx_c + q8h2_c
VALTA,0.0,9473.113026,270.1798343487,35.06225047785688,akg_c + val__L_c --> 3mob_c + glu__L_c
GLYCTO3,0.0,57086.121564,181.3194156044,314.8373348420097,glyclt_c + mqn8_c --> glx_c + mql8_c
IPPMIb,0.0,23255.0945712,95.5834174689,243.29632887175765,2ippm_c + h2o_c --> 3c3hmp_c
GLYCTO4,0.0,117077.842044,181.3194156044,645.6994230526238,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
ORPT,0.0,11843.9159184,62.253314582,190.253579233909,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0002502461739358053,36.0,1280.3449309338,0.0281174229929929,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
ACHBS_num1,0.08150646935806678,67064.871564,188.9929746571,354.853780600466,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
PFK_3,0.0,208800.0,184.0737556186,1134.3279181668497,atp_c + s7p_c --> adp_c + h_c + s17bp_c
DHAD2,0.08150646935806678,500400.0,173.1046037763,2890.73767585441,23dhmp_c --> 3mop_c + h2o_c
ACLS_num1,0.0,241177.320468,213.8624698606,1127.7215709011705,h_c + 2.0 pyr_c --> alac__S_c + co2_c
TRPS2,0.0,9309.2050944,189.4177352539,49.14642803601111,indole_c + ser__L_c --> h2o_c + trp__L_c
PSCVT,0.10692104435452934,75600.0,60.8820880534,1241.7445330339335,pep_c + skm5p_c --> 3psme_c + pi_c
G3PD5_num1,0.0,60326.17992,196.0337513655,307.7336402522,glyc3p_c + q8_c --> dhap_c + q8h2_c
G1PP_num1,0.0,9921.6603216,30.0235476814,330.4626231012202,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,66265.409376,156.3655230062,423.78529551794185,coa_c + pyr_c --> accoa_c + for_c
EX_acgam_e,0.0,,,,acgam_e --> 
ANS,0.015947021597570606,17526.9833028,302.0988233624,58.0173835426512,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
FRD2,0.0,39705.414012,160.09961243179998,248.0044355442391,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,40135.545684,160.09961243179998,250.6910858456771,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
ANPRT,0.015947021597570606,18000.0,150.2245889427,119.82059745802148,anth_c + prpp_c --> ppi_c + pran_c
POX,0.0,11451.8452104,327.6117991715,34.95553346784413,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
CHORM_num1,0.0,123098.130864,113.8806141471,1080.94017393508,chor_c --> pphn_c
PTAr_num1,0.0,547821.76428,611.5608241225,895.7764177684924,accoa_c + pi_c --> actp_c + coa_c
CHORS,0.10692104435452934,151200.0,206.7667489954,731.2587770259123,3psme_c --> chor_c + pi_c
IGPS,0.015947021597570606,18000.0,65.3680935479,275.36369845037746,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
ACKr_num1,0.0,168823.251792,56.0452852501,3012.265011028716,ac_c + atp_c --> actp_c + adp_c
EX_cellb_e,0.0,,,,cellb_e --> 
EX_crn_e,0.0,,,,crn_e --> 
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,ile__L_e --> 
EX_chol_e,0.0,,,,chol_e --> 
EX_fe3_e,0.0,,,,fe3_e --> 
LEUTAi_num1,0.0,54098.622612,270.1798343487,200.2319038443821,4mop_c + glu__L_c --> akg_c + leu__L_c
EX_lac__L_e,0.0,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,leu__L_e --> 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_no3_e,0.0,,,,no3_e --> 
EX_h_e,13.200194464071156,,,,h_e --> 
DMATT,7.799152057640554e-05,432.0,42.4755313708,10.17056140460624,dmpp_c + ipdp_c --> grdp_c + ppi_c
EX_orn_e,0.0,,,,orn_e --> 
GRTT,7.799152057640554e-05,432.0,42.4755313708,10.17056140460624,grdp_c + ipdp_c --> frdp_c + ppi_c
EX_gln__L_e,0.0,,,,gln__L_e --> 
UPP3S,0.00012512308696790265,3600.0,36.7147157767,98.05332613482038,hmbil_c --> h2o_c + uppg3_c
EX_pro__L_e,0.0,,,,pro__L_e --> 
EX_glyc_e,0.0,,,,glyc_e --> 
UPPDC1,6.256154348395132e-05,2916.0,51.8378307813,56.25235385142542,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
EX_man_e,0.0,,,,man_e --> 
TMDPP,0.0,30479.0006232,124.6997261766,244.41914635831336,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,ade_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,0.16332939351904793,,,,ac_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala__L_e,0.0,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,asp__L_e --> 
EX_pyr_e,3.318587751485305,,,,pyr_e --> 
EX_succ_e,0.0,,,,succ_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_tyr__L_e,0.0,,,,tyr__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
MOAT,0.0054582842601962195,212400.0,62.4608080203,3400.5323775345523,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
EX_fum_e,0.0,,,,fum_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
EX_glu__L_e,0.0,,,,glu__L_e --> 
UDCPDPS,1.542997709245422e-05,504.00000000000006,75.1365306559,6.7077890820931065,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
ECOAH6_num1,0.0,36593.980488,101.7948808106,359.4874339121917,3htdcoa_c --> h2o_c + td2coa_c
USHD,0.0054582842601962195,20475.11943,35.5211332166,576.420783231978,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
EX_gua_e,0.0,,,,gua_e --> 
ENO,6.562237137375582,86400.0,120.5996505527,716.4199863269477,2pg_c --> h2o_c + pep_c
FBA_num1,3.2468530315285515,37445.931792,103.4092616485,362.1139073527382,fdp_c --> dhap_c + g3p_c
HCO3E_num1,0.0,32760.0,132.5885712283,247.08011932334355,co2_c + h2o_c --> h_c + hco3_c
MGSA,0.0,10091.6424504,134.0736483895,75.26939537799831,dhap_c --> mthgxl_c + pi_c
IMPC,0.0,17248.074814800002,75.7188594716,227.79100127979697,h2o_c + imp_c --> fprica_c
IMPD,0.0,6480.0,274.8393894154,23.577406476500155,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
PPS,0.0,370888.94268,230.9638386646,1605.831219399656,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
ECOAH4_num1,0.0,41618.871828,101.7948808106,408.8503419482975,3hdcoa_c --> dc2coa_c + h2o_c
LPADSS,0.0054582842601962195,187200.0,111.9551912677,1672.097540813266,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
GLUTRS,0.0010009846957432212,324.0,71.0783235361,4.558351743277168,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TDSK,0.0054582842601962195,26884.7143848,47.0053865289,571.9496502442472,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
PGI,2.047202143879267,255600.0,162.5336649935,1572.597283216507,g6p_c --> f6p_c
TMPPP,6.256154348395132e-05,72.0,30.3979868269,2.368577906491007,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
EX_btn_e,0.0,,,,btn_e --> 
PGK,0.0,81612.68644800001,54.3078083686,1502.7799666315996,3pg_c + atp_c --> 13dpg_c + adp_c
EX_ptrc_e,0.0,,,,ptrc_e --> 
EDA,0.0,44337.531384,88.29644867329999,502.1439939000315,2ddg6p_c --> g3p_c + pyr_c
EX_spmd_e,0.0,,,,spmd_e --> 
EX_thym_e,0.0,,,,thym_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
NTPP1_num1,0.0,29218.073666400003,19.7153106483,1481.999152213176,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
URIK1,0.0,19423.538298,32.1649169463,603.8734168170868,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,9433.6233336,32.1649169463,293.2892178565121,gtp_c + uri_c --> gdp_c + h_c + ump_c
NTPP2_num1,0.0,10172.328768,19.7153106483,515.9608666311901,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
PGL,2.165710905666378,662400.0,47.9540977748,13813.20952196275,6pgl_c + h2o_c --> 6pgc_c + h_c
NTPTP1,0.0,28199.9018844,470.5882500448,59.92478962599548,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,58754.90664,470.5882500448,124.854172696421,gtp_c + h2o_c --> gsn_c + pppi_c
CYTDK1,0.0,9981.4541004,32.1649169463,310.32115261059886,atp_c + cytd_c --> adp_c + cmp_c + h_c
RPE,1.2261590272040435,198533.187612,32.4305243966,6121.800103633666,ru5p__D_c --> xu5p__D_c
DHQTi,0.10692104435452934,212400.0,72.5544194409,2927.4577846083207,3dhq_c --> 3dhsk_c + h2o_c
IPMD_num1,0.0,17640.0,104.385973282,168.98822174455682,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,11996.2297404,187.8701855298,63.853823886798445,5aizc_c --> 5caiz_c
TALA_num1,0.0,49937.715972,93.0332689605,536.7726677776153,g3p_c + s7p_c --> e4p_c + f6p_c
PUNP1,0.0,17754.490677600003,205.6436957135,86.33617780500948,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,16381.1871504,205.6436957135,79.65810521720076,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,16041.2979096,236.4285369521,67.84839984375465,gsn_c + pi_c --> gua_c + r1p_c
ADSL2r,0.12562638476615445,54000.0,272.3053543376,198.30678736141056,25aics_c --> aicar_c + fum_c
TKT1_num1,0.0,182904.1236,190.7506593655,958.8649612452182,r5p_c + xu5p__D_c --> g3p_c + s7p_c
EX_fe2_e,0.0,,,,fe2_e --> 
PUNP5_num1,0.0,18776.875842,236.4285369521,79.41882178886115,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,19606.6029096,205.6436957135,95.34259166843438,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,19138.3918956,236.4285369521,80.94789293340423,pi_c + xtsn_c --> r1p_c + xan_c
G6PDA,0.0,151224.255216,235.9497567396,640.9171906156904,gam6p_c + h2o_c --> f6p_c + nh4_c
RNDR1_num1,0.0,9882.9052704,362.0765781427,27.2950692394828,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
ALCD2x_num1,0.0,65388.128904000005,5078.4905262608,12.87550475202798,etoh_c + nad_c --> acald_c + h_c + nadh_c
RNDR3_num1,0.0,12566.4747876,357.1260567841,35.1877846740179,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,10859.4863892,357.1260567841,30.407992312263808,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
ALDD2y_num1,0.0,22093.1682012,38.8441980846,568.7636581680124,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
TMDS,0.0073407414654756515,26640.0,80.5135296162,330.8760667553669,dump_c + mlthf_c --> dhf_c + dtmp_c
RMI,0.0,34888.9751748,249.3590366994,139.9146212489517,rmn_c --> rml_c
TMDK1,0.0,9983.4833304,30.9808439518,322.24697771088177,atp_c + thymd_c --> adp_c + dtmp_c + h_c
LYSAM,0.0,26321.8049928,51.1794254408,514.3044253837281,lys__L_c --> 36dahx_c
PPCDC,0.0001890873556420949,540.0,688.4630962021,0.7843557671847696,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,11273.5449468,253.0710692159,44.54695268696365,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,,,,glc__D_e --> 
DHAD1,0.24529932327996448,1512000.0,173.1046037763,8734.603049344261,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,11963.9428812,95.5834174689,125.16755728149928,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,alltn_e --> 
G3PD7,0.0,97058.715588,196.0337513655,495.11226975928486,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
EDD,0.0,48328.786944,85.373445947,566.086871718902,6pgc_c --> 2ddg6p_c + h2o_c
EX_ura_e,0.0,,,,ura_e --> 
NADH9_num1,0.0,10293.4264572,53.27998282,193.1950033087492,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
EX_val__L_e,0.0,,,,val__L_e --> 
NADH10_num1,0.0,21675.0415536,53.27998282,406.81397414910055,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
ADK4,0.0,9420.7383576,31.151751978,302.41439917257674,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,38426.539932,127.9797338448,300.2548823753576,atp_c + ins_c --> adp_c + h_c + imp_c
MDH,3.353824703500744e-10,25920.0,85.42046546579999,303.44016341584626,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
ABTA_num1,0.0,33853.97349,120.9158436089,279.9796327725259,4abut_c + akg_c --> glu__L_c + sucsal_c
EX_xan_e,0.0,,,,xan_e --> 
FUM_num1,0.2925501213126213,104334.9147,158.7709147938,657.141232923565,fum_c + h2o_c --> mal__L_c
FMNAT,6.256154348395132e-05,324.0,45.8761256139,7.062497010467494,atp_c + fmn_c + h_c --> fad_c + ppi_c
PYDXNK,0.0,9300.850736400002,81.4848260804,114.1421192606213,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,9300.8461428,67.47868880189999,137.83383032389503,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
SSALx,0.0,21752.9700192,131.33198779609998,165.63344836425276,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,20574.122238,276.6022251385,74.38162230147695,asp__L_c --> fum_c + nh4_c
OHPBAT,0.0,3.6,105.0894169818,0.0342565417469531,glu__L_c + ohpb_c --> akg_c + phthr_c
SERD_L_num1,0.0,78829.072704,278.8069915074,282.73707297583223,ser__L_c --> nh4_c + pyr_c
EX_dgsn_e,0.0,,,,dgsn_e --> 
NADDP_num1,0.0,10638.0054396,78.4247271167,135.64606254568287,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
EX_arab__L_e,0.0,,,,arab__L_e --> 
EX_fru_e,0.0,,,,fru_e --> 
THRD_num1,0.0,74588.90950800001,196.7373271426,379.1294239447309,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,,,,atp_c + man_c --> adp_c + h_c + man6p_c
EX_gal_e,0.0,,,,gal_e --> 
NMNAT_num1,0.0,9306.7156656,250.1323492909,37.20716529462742,atp_c + h_c + nmn_c --> nad_c + ppi_c
EX_xyl__D_e,0.0,,,,xyl__D_e --> 
KARA1,0.0,15966.4598028,285.6516334253,55.89486610436396,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
HMPK1_num1,0.0,15927.764814,151.2739430912,105.29086826537912,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
KARA2,0.08150646935806678,2700.0,285.6516334253,9.452072678961486,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
EX_duri_e,0.0,,,,duri_e --> 
EX_for_e,1.3534306215883058,,,,for_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_h2_e,0.0,,,,h2_e --> 
EX_lys__L_e,0.0,,,,lys__L_e --> 
ACCOAC,0.6770511232046907,28564.8864444,333.4365401788,85.6681347193758,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,0.00012540363200609606,3960.000000000001,258.0767988859,15.344269679006604,atp_c + nad_c --> adp_c + h_c + nadp_c
GLXCL,0.0,50871.83922,170.99189528550002,297.5102365820369,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
ICHORS_copy2,0.0,24753.812418,128.8138019943,192.167392272882,chor_c --> ichor_c
SUCBZS,0.0,25537.986612,46.8565354118,545.0250725444951,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,14589.9807336,138.67931591779998,105.20661020745143,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,13917.9253932,42.9968404739,323.6964679218343,h2o_c + ichor_c --> 23ddhb_c + pyr_c
EX_ser__L_e,0.0,,,,ser__L_e --> 
EX_thm_e,0.0,,,,thm_e --> 
EX_trp__L_e,0.0,,,,trp__L_e --> 
GLUTRR,0.0010009846957432212,9680.9819904,122.3215423128,79.14372078177239,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,12943.083978,69.7663997152,185.52030821192125,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,26911.7995104,246.1195767623,109.34440837427232,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,din_e --> 
RBK_L1,0.0,26478.8845092,161.3704602124,164.08755651032914,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E_num1,0.0,84320.750844,33.3861036621,2525.6241847628708,ru5p__L_c --> xu5p__D_c
TARTD,0.0,40271.467896,146.375988498,275.1234564441575,tartr__L_c --> h2o_c + oaa_c
NTD2_num1,0.0,9722.7663408,33.4163493638,290.95836397175964,h2o_c + ump_c --> pi_c + uri_c
GLCRAL,0.0,24765.1175952,217.009607765,114.11991317001124,5dh4dglc_c --> 2h3oppan_c + pyr_c
NTD4_num1,0.0,25068.671154,35.5293220092,705.5769639372429,cmp_c + h2o_c --> cytd_c + pi_c
NTD5_num1,0.0,10199.2364712,59.9843586453,170.03159992941175,dtmp_c + h2o_c --> pi_c + thymd_c
EX_fmn_e,0.0,,,,fmn_e --> 
EX_gthox_e,0.0,,,,gthox_e --> 
KAS14_num1,0.0,9362.983381200002,112.5649921618,83.17846606999915,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c
HEMEOS,0.0,10296.682596,42.5929480905,241.7461823521108,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,99039.6036,40.1311592958,2467.897896245553,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,34948.0972368,88.6424911993,394.2589695299085,agm_c + h2o_c --> ptrc_c + urea_c
NTD6_num1,0.0,14096.0551104,59.9843586453,234.99551264276928,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,9557.43858,39.4114700881,242.5039857339855,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP_num1,0.0,29369.9036412,39.8890616049,736.2896608626206,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,22698.0003096,39.8890616049,569.0281845790968,h2o_c + pdx5p_c --> pi_c + pydxn_c
ARGDC,0.0,10396.287288,1115.0657751052,9.323474471287732,arg__L_c + h_c --> agm_c + co2_c
HACD6_num1,0.0,31487.3037504,210.2509481694,149.76057908205274,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1_num1,0.0,43149.264552,101.7948808106,423.88442531097127,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2_num1,0.0,48500.51292,101.7948808106,476.4533592827744,3hhcoa_c --> h2o_c + hx2coa_c
ARGSS,0.08298297789329565,10080.0,263.6178378528,38.23716969269929,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,27140.712948,47.4845629733,571.5691847740264,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,20729.7816624,85.37846488439999,242.79871616885512,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0010009846957432212,324.0,119.8366399906,2.703680610749889,glu1sa_c --> 5aop_c
KDOCT2,0.010916568520392439,15120.0,36.4723539312,414.5605745250709,ctp_c + kdo_c --> ckdo_c + ppi_c
ECOAH3_num1,0.0,44125.787664,101.7948808106,433.4774726648645,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,67891.373892,104.7259402522,648.2765753022093,gal1p_c + udpg_c --> g1p_c + udpgal_c
EDTXS1,0.0,12691.7564868,46.7643454564,271.39814238676684,ddcaACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4L_c
DXPS,0.0007953451828565097,3960.000000000001,178.61328380470002,22.17080340077033,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
OAADC,0.0,17454.5641656,88.29644867329999,197.68138388195555,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,54841.495428,59.220819774,926.0509333928088,mana_c --> 2ddglcn_c + h2o_c
CDPMEK,0.000670222095888607,4680.0,81.6907345911,57.28923877873751,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
EDTXS2,0.0,22707.3875616,49.410646239200005,459.5646746183429,kdo2lipid4L_c + myrsACP_c --> ACP_c + lipa_c
ALTRH,0.0,69858.52128,71.44470596629999,977.7984293609076,altrn_c --> 2ddglcn_c + h2o_c
MECDPS,0.000670222095888607,324.0,66.9534173798,4.839185402024775,2p4c2me_c --> 2mecdp_c + cmp_c
