id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
DURIPP_num1,Deoxyuridine phosphorylase,"OrderedDict([('2dr1p_c', 1.0), ('duri_c', -1.0), ('pi_c', -1.0), ('ura_c', 1.0)])",0.0,1000.0,b4382,"OrderedDict([('bigg.reaction', 'DURIPP'), ('biocyc', 'META:URA-PHOSPH-RXN'), ('ec-code', ['2.4.2.3', '2.4.2.1', '2.4.2.4', '2.4.2.2']), ('kegg.reaction', 'R02484'), ('metanetx.reaction', 'MNXR97818'), ('rhea', ['22825', '22824', '22827', '22826']), ('sabiork', '511'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01799')])","OrderedDict([('reflection', 'DURIPP_reverse')])",
ACALD_num1,Acetaldehyde dehydrogenase (acetylating),"OrderedDict([('acald_c', -1.0), ('accoa_c', 1.0), ('coa_c', -1.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b0351,"OrderedDict([('bigg.reaction', 'ACALD'), ('biocyc', 'META:ACETALD-DEHYDROG-RXN'), ('ec-code', '1.2.1.10'), ('kegg.reaction', 'R00228'), ('metanetx.reaction', 'MNXR95210'), ('rhea', ['23290', '23291', '23289', '23288']), ('sabiork', '163'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00171')])","OrderedDict([('reflection', 'ACALD_reverse')])",
PTRCTA,Putrescine Transaminase,"OrderedDict([('4abutn_c', 1.0), ('akg_c', -1.0), ('glu__L_c', 1.0), ('ptrc_c', -1.0)])",0.0,1000.0,b3073,"OrderedDict([('bigg.reaction', 'PTRCTA'), ('biocyc', 'META:PUTTRANSAM-RXN'), ('ec-code', ['2.6.1.29', '2.6.1.82']), ('kegg.reaction', 'R01155'), ('metanetx.reaction', 'MNXR103337'), ('rhea', ['23817', '23819', '23816', '23818']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn07225', 'rxn00856'])])",,
ACS,Acetyl-CoA synthetase,"OrderedDict([('ac_c', -1.0), ('accoa_c', 1.0), ('amp_c', 1.0), ('atp_c', -1.0), ('coa_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b4069,"OrderedDict([('bigg.reaction', 'ACS'), ('biocyc', 'META:ACETATE--COA-LIGASE-RXN'), ('ec-code', '6.2.1.1'), ('kegg.reaction', 'R00235'), ('metanetx.reaction', 'MNXR95413'), ('reactome.reaction', ['R-DME-71735', 'R-TGU-449911', 'R-BTA-8875071', 'R-CEL-71735', 'R-DRE-449911', 'R-CFA-71735', 'R-TGU-71735', 'R-SCE-71735', 'R-CFA-8875071', 'R-BTA-71735', 'R-SPO-449911', 'R-CFA-449911', 'R-MMU-8875071', 'R-GGA-8875071', 'R-OSA-71735', 'R-HSA-71735', 'R-HSA-449911', 'R-SSC-8875071', 'R-RNO-71735', 'R-SSC-449911', 'R-BTA-449911', 'R-GGA-71735', 'R-SSC-71735', 'R-XTR-449911', 'R-ATH-71735', 'R-DRE-71735', 'R-DME-8875071', 'R-DDI-8875071', 'R-XTR-8875071', 'R-PFA-449911', 'R-SCE-449911', 'R-SCE-8875071', 'R-DRE-8875071', 'R-MMU-71735', 'R-MMU-449911', 'R-XTR-71735', 'R-RNO-8875071', 'R-DDI-449911', 'R-TGU-8875071', 'R-HSA-8875071', 'R-GGA-449911', 'R-RNO-449911']), ('rhea', ['23179', '23178', '23176', '23177']), ('sabiork', '179'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00175')])",,
CYSDS_num1,Cysteine Desulfhydrase,"OrderedDict([('cys__L_c', -1.0), ('h2o_c', -1.0), ('h2s_c', 1.0), ('nh4_c', 1.0), ('pyr_c', 1.0)])",0.0,1000.0,b3008,"OrderedDict([('bigg.reaction', 'CYSDS'), ('biocyc', 'META:LCYSDESULF-RXN'), ('ec-code', ['4.4.1.28', '4.4.1.8', '4.4.1.1']), ('kegg.reaction', 'R00782'), ('metanetx.reaction', 'MNXR96994'), ('rhea', ['24932', '24931', '24933', '24934']), ('sabiork', '1131'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00566')])",,
MAN6PI,Mannose-6-phosphate isomerase,"OrderedDict([('f6p_c', 1.0), ('man6p_c', -1.0)])",0.0,1000.0,b1613,"OrderedDict([('bigg.reaction', 'MAN6PI'), ('biocyc', 'META:MANNPISOM-RXN'), ('ec-code', '5.3.1.8'), ('kegg.reaction', 'R01819'), ('metanetx.reaction', 'MNXR101382'), ('sbo', 'SBO:0000176')])","OrderedDict([('reflection', 'MAN6PI_reverse')])",
PPA_num1,Inorganic diphosphatase,"OrderedDict([('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 2.0), ('ppi_c', -1.0)])",0.0,1000.0,b2744,"OrderedDict([('bigg.reaction', 'PPA'), ('biocyc', 'META:INORGPYROPHOSPHAT-RXN'), ('ec-code', '3.6.1.1'), ('kegg.reaction', 'R00004'), ('metanetx.reaction', 'MNXR100808'), ('reactome.reaction', ['R-GGA-6788912', 'R-HSA-449937', 'R-RNO-449937', 'R-DME-449937', 'R-RNO-71732', 'R-SSC-449937', 'R-HSA-71732', 'R-SCE-449937', 'R-SSC-71732', 'R-GGA-71732', 'R-DRE-6788912', 'R-TGU-6788912', 'R-DRE-71732', 'R-PFA-71732', 'R-BTA-6788912', 'R-CEL-71732', 'R-SPO-71732', 'R-MMU-449937', 'R-ATH-449937', 'R-CFA-6788912', 'R-DRE-449937', 'R-MMU-71732', 'R-OSA-71732', 'R-XTR-449937', 'R-CFA-71732', 'R-ATH-71732', 'R-SSC-6788912', 'R-CEL-449937', 'R-OSA-449937', 'R-BTA-449937', 'R-XTR-6788912', 'R-GGA-449937', 'R-BTA-71732', 'R-DDI-71732', 'R-HSA-6788912', 'R-SCE-71732', 'R-SPO-449937', 'R-TGU-449937', 'R-CEL-6788912', 'R-MMU-6788912', 'R-PFA-449937', 'R-TGU-71732', 'R-XTR-71732', 'R-CFA-449937', 'R-RNO-6788912', 'R-DME-71732', 'R-DDI-449937']), ('rhea', ['24577', '24576', '24579', '24578']), ('sabiork', '76'), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00001', 'rxn11226'])])",,
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,"OrderedDict([('5aprbu_c', 1.0), ('5apru_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b0414,"OrderedDict([('bigg.reaction', 'APRAUR'), ('biocyc', 'META:RIBOFLAVINSYNREDUC-RXN'), ('ec-code', '1.1.1.193'), ('kegg.reaction', 'R03458'), ('metanetx.reaction', 'MNXR95898'), ('rhea', ['17848', '17846', '17847', '17845']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02474')])",,
TRPAS2,Tryptophanase (L-tryptophan),"OrderedDict([('h2o_c', -1.0), ('indole_c', 1.0), ('nh4_c', 1.0), ('pyr_c', 1.0), ('trp__L_c', -1.0)])",0.0,1000.0,b3708,"OrderedDict([('bigg.reaction', 'TRPAS2'), ('biocyc', 'META:TRYPTOPHAN-RXN'), ('ec-code', '4.1.99.1'), ('kegg.reaction', 'R00673'), ('metanetx.reaction', 'MNXR104941'), ('rhea', ['19556', '19553', '19555', '19554']), ('sabiork', '1053'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00473')])","OrderedDict([('reflection', 'TRPAS2_reverse')])",
PPCK,Phosphoenolpyruvate carboxykinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('co2_c', 1.0), ('oaa_c', -1.0), ('pep_c', 1.0)])",0.0,1000.0,b3403,"OrderedDict([('bigg.reaction', 'PPCK'), ('biocyc', 'META:PEPCARBOXYKIN-RXN'), ('ec-code', '4.1.1.49'), ('kegg.reaction', 'R00341'), ('metanetx.reaction', 'MNXR103099'), ('rhea', ['18620', '18618', '18617', '18619']), ('sabiork', '151'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00247')])",,
ME1,Malic enzyme (NAD),"OrderedDict([('co2_c', 1.0), ('mal__L_c', -1.0), ('nad_c', -1.0), ('nadh_c', 1.0), ('pyr_c', 1.0)])",0.0,1000.0,b1479,"OrderedDict([('bigg.reaction', 'ME1'), ('biocyc', 'META:1.1.1.39-RXN'), ('ec-code', ['1.1.1.38', '1.1.1.39']), ('kegg.reaction', 'R00214'), ('metanetx.reaction', 'MNXR101446'), ('rhea', ['12655', '12654', '12653', '12656']), ('sabiork', '141'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00159')])",,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase","OrderedDict([('db4p_c', 1.0), ('for_c', 1.0), ('h_c', 1.0), ('ru5p__D_c', -1.0)])",0.0,1000.0,b3041,"OrderedDict([('bigg.reaction', 'DB4PS'), ('ec-code', '4.1.99.12'), ('kegg.reaction', 'R07281'), ('metanetx.reaction', 'MNXR97178'), ('sabiork', '9052'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn05040')])",,
ALAR_num1,Alanine racemase,"OrderedDict([('ala__D_c', 1.0), ('ala__L_c', -1.0)])",0.0,1000.0,b1190,"OrderedDict([('bigg.reaction', 'ALAR'), ('biocyc', 'META:ALARACECAT-RXN'), ('ec-code', '5.1.1.1'), ('kegg.reaction', 'R00401'), ('metanetx.reaction', 'MNXR95693'), ('rhea', ['20252', '20251', '20249', '20250']), ('sabiork', '862'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00283')])","OrderedDict([('reflection', 'ALAR_reverse')])",
RBFK,Riboflavin kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('fmn_c', 1.0), ('h_c', 1.0), ('ribflv_c', -1.0)])",0.0,1000.0,b0025,"OrderedDict([('bigg.reaction', 'RBFK'), ('biocyc', 'META:RIBOFLAVINKIN-RXN'), ('ec-code', '2.7.1.26'), ('kegg.reaction', 'R00549'), ('metanetx.reaction', 'MNXR103429'), ('reactome.reaction', ['R-TGU-196964', 'R-RNO-196964', 'R-SPO-196964', 'R-CEL-196964', 'R-HSA-196964', 'R-MMU-196964', 'R-DME-196964', 'R-BTA-196964', 'R-SSC-196964', 'R-CFA-196964', 'R-GGA-196964', 'R-XTR-196964', 'R-SCE-196964', 'R-DRE-196964', 'R-PFA-196964']), ('rhea', ['14360', '14359', '14358', '14357']), ('sabiork', '277'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00392')])",,
ALATA_L_num1,L-alanine transaminase,"OrderedDict([('akg_c', -1.0), ('ala__L_c', -1.0), ('glu__L_c', 1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2290,"OrderedDict([('bigg.reaction', 'ALATA_L'), ('biocyc', ['META:ALANINE-AMINOTRANSFERASE-RXN', 'META:RXN-13698']), ('ec-code', '2.6.1.2'), ('kegg.reaction', 'R00258'), ('metanetx.reaction', 'MNXR95698'), ('reactome.reaction', ['R-SPO-70523', 'R-DRE-507749', 'R-SSC-70524', 'R-SCE-507749', 'R-XTR-70524', 'R-SSC-507775', 'R-SPO-507749', 'R-RNO-507749', 'R-RNO-70523', 'R-DDI-70524', 'R-BTA-507749', 'R-RNO-507775', 'R-DDI-70523', 'R-SCE-507775', 'R-SPO-507775', 'R-CEL-70524', 'R-CFA-507775', 'R-HSA-70524', 'R-DME-507775', 'R-DDI-507749', 'R-CEL-70523', 'R-HSA-507749', 'R-OSA-70524', 'R-ATH-70524', 'R-SPO-70524', 'R-DME-70524', 'R-OSA-507775', 'R-SSC-70523', 'R-XTR-507775', 'R-DME-70523', 'R-SCE-70523', 'R-MMU-507775', 'R-BTA-70523', 'R-DDI-507775', 'R-CFA-507749', 'R-HSA-507775', 'R-OSA-507749', 'R-CFA-70523', 'R-ATH-507749', 'R-CFA-70524', 'R-TGU-507775', 'R-ATH-507775', 'R-BTA-70524', 'R-DRE-70523', 'R-XTR-507749', 'R-OSA-70523', 'R-DRE-70524', 'R-BTA-507775', 'R-DRE-507775', 'R-GGA-507775', 'R-HSA-70523', 'R-XTR-70523', 'R-MMU-70523', 'R-TGU-507749', 'R-MMU-507749', 'R-MMU-70524', 'R-ATH-70523', 'R-RNO-70524', 'R-CEL-507749', 'R-DME-507749', 'R-SCE-70524', 'R-SSC-507749', 'R-GGA-507749', 'R-CEL-507775']), ('rhea', ['19453', '19455', '19456', '19454']), ('sabiork', '763'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00191')])","OrderedDict([('reflection', 'ALATA_L_reverse')])",
XYLK_num1,Xylulokinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('xu5p__D_c', 1.0), ('xylu__D_c', -1.0)])",0.0,1000.0,b0063,"OrderedDict([('bigg.reaction', 'XYLK'), ('biocyc', 'META:XYLULOKIN-RXN'), ('ec-code', '2.7.1.17'), ('kegg.reaction', 'R01639'), ('metanetx.reaction', 'MNXR105255'), ('reactome.reaction', ['R-RNO-5662466', 'R-CEL-5662466', 'R-BTA-5662466', 'R-CFA-5662466', 'R-HSA-5662466', 'R-OSA-5662466', 'R-TGU-5662466', 'R-SPO-5662466', 'R-DRE-5662466', 'R-GGA-5662466', 'R-SSC-5662466', 'R-DME-5662466', 'R-XTR-5662466', 'R-SCE-5662466', 'R-ATH-5662466', 'R-MMU-5662466']), ('rhea', ['10966', '10965', '10964', '10967']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01199')])",,
RBK,Ribokinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('r5p_c', 1.0), ('rib__D_c', -1.0)])",0.0,1000.0,b3752,"OrderedDict([('bigg.reaction', 'RBK'), ('ec-code', '2.7.1.15'), ('metanetx.reaction', 'MNXR103431'), ('sbo', 'SBO:0000176')])",,
GLYK,Glycerol kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('glyc3p_c', 1.0), ('glyc_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b3926,"OrderedDict([('bigg.reaction', 'GLYK'), ('biocyc', 'META:GLYCEROL-KIN-RXN'), ('ec-code', '2.7.1.30'), ('kegg.reaction', 'R00847'), ('metanetx.reaction', 'MNXR100348'), ('reactome.reaction', ['R-DME-75887', 'R-TGU-75887', 'R-CFA-75887', 'R-MMU-75887', 'R-DDI-75887', 'R-HSA-75887', 'R-XTR-75887', 'R-OSA-75887', 'R-SCE-75887', 'R-RNO-75887', 'R-CEL-75887', 'R-DRE-75887', 'R-ATH-75887', 'R-SSC-75887', 'R-BTA-75887', 'R-GGA-75887', 'R-PFA-75887']), ('rhea', ['21644', '21645', '21647', '21646']), ('sabiork', '99'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00615')])",,
PPM,Phosphopentomutase,"OrderedDict([('r1p_c', -1.0), ('r5p_c', 1.0)])",0.0,1000.0,b4383,"OrderedDict([('bigg.reaction', 'PPM'), ('biocyc', 'META:RXN-14456'), ('ec-code', ['5.4.2.7', '5.4.2.2', '5.4.2']), ('metanetx.reaction', 'MNXR103115'), ('sabiork', '2261'), ('sbo', 'SBO:0000176')])","OrderedDict([('reflection', 'PPM_reverse')])",
ASPTA_num1,Aspartate transaminase,"OrderedDict([('akg_c', -1.0), ('asp__L_c', -1.0), ('glu__L_c', 1.0), ('oaa_c', 1.0)])",0.0,1000.0,b0928,"OrderedDict([('bigg.reaction', 'ASPTA'), ('biocyc', ['META:RXN-13697', 'META:ASPAMINOTRANS-RXN']), ('ec-code', '2.6.1.1'), ('kegg.reaction', 'R00355'), ('metanetx.reaction', 'MNXR96079'), ('reactome.reaction', ['R-DME-70613', 'R-XTR-70581', 'R-CEL-70613', 'R-OSA-70613', 'R-BTA-70613', 'R-DDI-70613', 'R-DRE-70581', 'R-DRE-70613', 'R-SCE-70592', 'R-SPO-70596', 'R-SPO-70581', 'R-GGA-70592', 'R-HSA-70613', 'R-HSA-70592', 'R-DRE-70592', 'R-XTR-70592', 'R-DME-70592', 'R-CFA-70613', 'R-HSA-70596', 'R-PFA-70596', 'R-CEL-70592', 'R-CEL-70581', 'R-MMU-70596', 'R-MMU-70613', 'R-DRE-70596', 'R-ATH-70596', 'R-OSA-70596', 'R-ATH-70613', 'R-PFA-70613', 'R-TGU-70596', 'R-RNO-70581', 'R-TGU-70613', 'R-DME-70596', 'R-CFA-70596', 'R-SCE-70613', 'R-TGU-70581', 'R-SCE-70581', 'R-DME-70581', 'R-SPO-70613', 'R-SSC-70596', 'R-BTA-70592', 'R-XTR-70596', 'R-RNO-70613', 'R-XTR-70613', 'R-GGA-372717', 'R-CFA-70581', 'R-MMU-70592', 'R-PFA-70592', 'R-SSC-70592', 'R-BTA-70581', 'R-SPO-70592', 'R-DDI-70596', 'R-SSC-70613', 'R-CEL-70596', 'R-SSC-70581', 'R-RNO-70596', 'R-SCE-70596', 'R-GGA-70596', 'R-GGA-372559', 'R-CFA-70592', 'R-BTA-70596', 'R-PFA-70581', 'R-MMU-70581', 'R-RNO-70592', 'R-GGA-70613', 'R-HSA-70581', 'R-GGA-372564', 'R-GGA-70581', 'R-TGU-70592', 'R-GGA-372719']), ('rhea', ['21824', '21827', '21825', '21826']), ('sabiork', '825'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00260')])","OrderedDict([('reflection', 'ASPTA_reverse')])",
