,MW,kcat,type,kcat_MW
NADK,258.0767988859,3960.000000000001,proteozyme,15.344269679006604
ICHORS_copy2,128.8138019943,24753.812418,proteozyme,192.167392272882
SUCBZS,46.8565354118,25537.986612,proteozyme,545.0250725444951
DHBD,138.67931591779998,14589.9807336,proteozyme,105.20661020745143
ICHORT,42.9968404739,13917.9253932,proteozyme,323.6964679218343
RBK_L1,161.3704602124,26478.8845092,proteozyme,164.08755651032914
RBP4E_num1,33.3861036621,84320.750844,proteozyme,2525.6241847628708
RBP4E_num2,134.8186964388,84320.750844,proteozyme,625.4381111174503
RBP4E_num3,33.7601465757,84320.750844,proteozyme,2497.641728389079
NTD2_num1,33.4163493638,9722.7663408,proteozyme,290.95836397175964
NTD2_num2,35.5293220092,9722.7663408,proteozyme,273.654710840876
NTD2_num3,35.8762890763,9722.7663408,proteozyme,271.0081391116589
NTD4_num1,35.5293220092,25068.671154,proteozyme,705.5769639372429
NTD4_num2,35.8762890763,25068.671154,proteozyme,698.7531820998859
NTD5_num1,59.9843586453,10199.2364712,proteozyme,170.03159992941175
NTD5_num2,35.5293220092,10199.2364712,proteozyme,287.06532785959155
NTD5_num3,33.4163493638,10199.2364712,proteozyme,305.21695712963947
NTD5_num4,26.7527854242,10199.2364712,proteozyme,381.2401703029393
NTD6_num1,59.9843586453,14096.0551104,proteozyme,234.99551264276928
NTD6_num2,35.5293220092,14096.0551104,proteozyme,396.7442752425716
NTD6_num3,26.7527854242,14096.0551104,proteozyme,526.9004661342295
LGTHL,39.4114700881,9557.43858,proteozyme,242.5039857339855
PYDXPP_num1,39.8890616049,29369.9036412,proteozyme,736.2896608626206
PYDXPP_num2,40.1130647057,29369.9036412,proteozyme,732.1780037671016
PYDXPP_num3,39.2371280521,29369.9036412,proteozyme,748.52327627552
PYDXPP_num4,35.8762890763,29369.9036412,proteozyme,818.6438563569793
PDXPP,39.8890616049,22698.0003096,proteozyme,569.0281845790968
HACD6_num1,210.2509481694,31487.3037504,proteozyme,149.76057908205274
HACD6_num2,101.7948808106,31487.3037504,proteozyme,309.3210925703171
ECOAH1_num1,101.7948808106,43149.264552,proteozyme,423.88442531097127
ECOAH1_num2,210.2509481694,43149.264552,proteozyme,205.2274433370663
ECOAH2_num1,101.7948808106,48500.51292,proteozyme,476.4533592827744
ECOAH2_num2,210.2509481694,48500.51292,proteozyme,230.67916383864747
ECOAH3_num1,101.7948808106,44125.787664,proteozyme,433.4774726648645
ECOAH3_num2,210.2509481694,44125.787664,proteozyme,209.87200318567736
UGLT,104.7259402522,67891.373892,proteozyme,648.2765753022093
DXPS,178.61328380470002,3960.000000000001,proteozyme,22.170803400770332
CDPMEK,81.6907345911,4680.0,proteozyme,57.28923877873751
MECDPS,66.9534173798,324.0,proteozyme,4.839185402024775
DDGLK,44.856620935200006,171581.330736,proteozyme,3825.106019106229
XYLI2,262.791562264,37166.122692,proteozyme,141.42814317098572
PMANM,66.6496395898,28985.116752,proteozyme,434.88782430619256
ICL,251.0608527099,58476.22074,proteozyme,232.91652246385493
GLYCL,480.8770717148,36542.313396,proteozyme,75.9909663933252
HCYSMT,44.1439318244,39542.547456,proteozyme,895.7640568424256
UDPG4E,98.4374758446,13617.8128944,proteozyme,138.3397204932194
LACZ,615.3896129722,74153.44238400001,proteozyme,120.49836529715664
TRE6PH,84.3151105421,31368.0744648,proteozyme,372.0338414208373
XYLI1,262.791562264,23950.648206,proteozyme,91.1393349149438
PPC,523.3568295592,165600.0,proteozyme,316.4189146809787
G3PT_num1,40.1684050944,9873.8253288,proteozyme,245.8107387036021
G3PT_num2,35.8762890763,9873.8253288,proteozyme,275.21869131450063
CINNDO,167.7320954442,34531.8373224,proteozyme,205.8749533352597
DHPPD,37.6415021908,16735.640126399998,proteozyme,444.60606384859886
DHCIND,37.6415021908,14890.464406800002,proteozyme,395.5863485820021
CITL,811.0870955318999,144633.90985199998,proteozyme,178.32105904378992
GOFUCR,95.4685102179,10022.3023932,proteozyme,104.9801905395278
PYDXK_num1,81.4848260804,9301.0448556,proteozyme,114.14450153483524
PYDXK_num2,82.7390321212,9301.0448556,proteozyme,112.41423324816508
GTPCII2,57.680798456,432.0,proteozyme,7.489494104862951
SADT2,463.5742850283,102441.80628,proteozyme,220.9825039664273
LCARS,107.0178776391,12525.2068248,proteozyme,117.03845283719022
ALCD19_num1,186.9135496459,66988.944936,proteozyme,358.3953387162557
ALCD19_num2,5078.4905262608,66988.944936,proteozyme,13.19071968129135
RMPA,159.26144988599998,25917.5420028,proteozyme,162.73581598906634
SBTPD,147.1757165495,16357.7590092,proteozyme,111.144415618988
PFK_2,184.0737556186,28729.9706508,proteozyme,156.07858140477327
GLTPD,98.7678011719,22429.0450836,proteozyme,227.08863432692468
TGBPA_num1,227.6578117683,31362.7678812,proteozyme,137.7627573488215
TGBPA_num2,102.9154246238,31362.7678812,proteozyme,304.7431227713859
MANAO,70.7672814946,42550.179408,proteozyme,601.2690965279888
TAGURr,72.3893228159,28666.3497336,proteozyme,396.0024575240751
PGLYCP,36.1749158516,10590.8458824,proteozyme,292.76767155027323
GLXCL,170.99189528550002,50871.83922,proteozyme,297.5102365820369
TARTD,146.375988498,40271.467896,proteozyme,275.1234564441575
GLCRAL,217.009607765,24765.1175952,proteozyme,114.11991317001124
KAS14_num1,112.5649921618,9362.983381200002,proteozyme,83.17846606999915
KAS14_num2,113.7073287295,9362.983381200002,proteozyme,82.34283124770029
EDTXS1,46.7643454564,12691.7564868,proteozyme,271.39814238676684
EDTXS2,49.410646239200005,22707.3875616,proteozyme,459.5646746183429
EDTXS3,46.8787243982,16672.680234,proteozyme,355.6555867940848
EDTXS4,49.410646239200005,63673.517448,proteozyme,1288.65987989213
NNDPR,86.5424621293,1656.0,proteozyme,19.13511540179929
HACD4_num1,210.2509481694,38552.38416,proteozyme,183.3636637345302
HACD4_num2,101.7948808106,38552.38416,proteozyme,378.7261584571304
HACD7_num1,101.7948808106,34363.0920204,proteozyme,337.57190682639646
HACD7_num2,210.2509481694,34363.0920204,proteozyme,163.43846398596747
AACPS1,117.9971994335,9300.0854844,proteozyme,78.81615435831824
SDPDS,109.013961874,1540800.0,proteozyme,14133.969388076
DMSOR1_num1,307.7962418525,51527.575512,proteozyme,167.4080723074348
DMSOR1_num2,190.3152005074,51527.575512,proteozyme,270.74860743977445
DKGLCNR2y,93.498841443,17120.400569999998,proteozyme,183.10815733943787
2DGULRy,93.498841443,19562.4162288,proteozyme,209.2262955014892
RZ5PP,30.7852374705,14207.1653772,proteozyme,461.4927979949493
NTD9_num1,26.7527854242,9725.196348,proteozyme,363.520889275432
NTD9_num2,35.5293220092,9725.196348,proteozyme,273.72310525604024
NTD9_num3,33.5460492724,9725.196348,proteozyme,289.90586250648005
NTD9_num4,35.8762890763,9725.196348,proteozyme,271.0758720701829
NTD10,35.5293220092,9327.137796,proteozyme,262.51944221127616
ADPT,52.4581978594,10116.3236976,proteozyme,192.84542951159065
ADK1,31.151751978,111600.0,proteozyme,3582.463037032851
OCTDPS,93.0271934047,1080.0,proteozyme,11.609508579944274
AACPS2,117.9971994335,9300.0826116,proteozyme,78.81613001197772
AACPS3,117.9971994335,20818.4973336,proteozyme,176.43213087724794
AACPS4,117.9971994335,19801.4710104,proteozyme,167.8130591697608
AMANK,39.1528627347,18940.1892084,proteozyme,483.7497921094255
ACNML,172.1943270247,22534.1909424,proteozyme,130.86488580525443
CAT_num1,444.6387587592,190740.270204,proteozyme,428.9780556609054
CAT_num2,422.7732296669,190740.270204,proteozyme,451.16449391623706
SERASr,187.537879043,58615.064136,proteozyme,312.5505334448212
DMSOR2,190.3152005074,94768.540272,proteozyme,497.9557072653013
ACMAMUT,36.8868124986,20034.1925388,proteozyme,543.1261521867842
DDGALK,41.4374037928,25598.3255244,proteozyme,617.7589129956029
AB6PGH_num1,70.21400968489999,42497.061408,proteozyme,605.2504564076945
AB6PGH_num2,73.1190498984,42497.061408,proteozyme,581.2036872340423
AB6PGH_num3,71.2357596777,42497.061408,proteozyme,596.5692174867547
AMALT1,103.6853032055,57278.029752,proteozyme,552.4218764011067
MLTP2,239.1190836304,27243.3634668,proteozyme,113.93220086486004
PACCOAL,64.65566859169999,21124.0937268,proteozyme,326.7168090117276
GP4GH,41.3358363491,10828.7474652,proteozyme,261.9699616997292
ACGAMT,108.1904599085,10386.8451828,proteozyme,96.00518559200574
AADDGT,53.6756864108,231887.77365600003,proteozyme,4320.164103375905
GMHEPK,134.8525082276,1502082.99396,proteozyme,11138.71008928384
TRE6PS,70.80822545759999,26430.1729452,proteozyme,373.2641620997324
UDCPDP_num1,38.3305494649,15096.386152799998,proteozyme,393.8473714451717
UDCPDP_num2,29.5834661178,15096.386152799998,proteozyme,510.298086528701
UDCPDP_num3,39.3046195524,15096.386152799998,proteozyme,384.0868153595495
TREH,84.1288815491,19724.518926,proteozyme,234.4559747235937
CYTK1,32.6842448899,86400.0,proteozyme,2643.4754815675456
CYTK2,32.6842448899,25750.1017152,proteozyme,787.8444737500186
GK1,62.3212023142,151200.0,proteozyme,2426.1406132331435
HACD1_num1,210.2509481694,38780.618328,proteozyme,184.44919590447844
HACD1_num2,101.7948808106,38780.618328,proteozyme,380.9682571381501
HACD2_num1,210.2509481694,39035.142144,proteozyme,185.65976745345867
HACD2_num2,101.7948808106,39035.142144,proteozyme,383.46861682198886
